"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.835011167E0,-1.793802386E0,1.164287933E0,-3.973047380E0,4.512028244E0
1.844997167E0,-2.165411359E0,1.434811411E0,-3.911269793E0,4.695287162E0
1.854984167E0,-2.688326686E0,1.628703913E0,-3.659895653E0,4.824376954E0
1.864971167E0,-3.127080406E0,1.476863709E0,-3.608275849E0,4.997940864E0
1.874958167E0,-3.554180918E0,9.074250117E-1,-4.351400240E0,5.691248211E0
1.884945167E0,-6.673340685E0,-8.784716463E-1,-1.246993348E1,1.417054796E1
1.894931167E0,-2.719071053E0,7.899877784E-1,-5.583065931E0,6.260036204E0
1.904918167E0,-3.638322351E0,1.088728458E0,-4.042695905E0,5.546720596E0
1.914905167E0,-4.041650715E0,-3.903647947E-1,-4.843028285E0,6.319987986E0
1.924892167E0,-4.597694611E0,-1.942821600E0,-3.807204557E0,6.277591740E0
1.934878625E0,-4.834203082E0,-3.330958198E0,-2.619836202E0,6.428712444E0
1.944864625E0,-4.791027242E0,-4.020156350E0,-2.522320433E0,6.743715555E0
1.954851625E0,-4.904863760E0,-4.300470992E0,-2.348377461E0,6.933009156E0
1.964838625E0,-4.618782887E0,-3.861954084E0,-2.172217226E0,6.400497823E0
1.974825625E0,-3.653190651E0,-2.402051100E0,-1.914101247E0,4.772780636E0
1.984812625E0,-3.113607836E0,-1.897472935E0,-2.169662578E0,4.242922695E0
1.994798625E0,-2.790948829E0,-2.168444018E0,-2.811252408E0,4.516047489E0
2.004785625E0,-2.403930688E0,-2.325390303E0,-2.997102064E0,4.490984702E0
2.014772625E0,-2.043928145E0,-2.609422896E0,-2.510674533E0,4.158150638E0
2.024759625E0,-1.544636155E0,-2.455249068E0,-2.095277224E0,3.578314615E0
2.034746625E0,-1.008574533E0,-2.153585658E0,-1.805636566E0,2.985879633E0
2.044732625E0,-3.929498488E-1,-1.958643581E0,-1.483849086E0,2.488473904E0
2.054719625E0,3.087209997E-1,-1.837451851E0,-1.453162313E0,2.362883549E0
2.064706625E0,8.930546021E-1,-1.891854345E0,-1.497305868E0,2.572660927E0
2.074693625E0,1.277392087E0,-1.895783966E0,-1.032326508E0,2.508271399E0
2.084680625E0,1.758033798E0,-1.488998728E0,-3.208244437E-1,2.326097241E0
2.094666625E0,1.864440844E0,-1.163080775E0,2.805336195E-1,2.215309383E0
2.104653625E0,1.610866105E0,-1.183215078E0,1.123440161E0,2.292816025E0
2.114640625E0,1.637456610E0,-1.054367295E0,2.240358338E0,2.968528260E0
2.124627625E0,1.624295112E0,-9.892793065E-1,3.333031620E0,3.837461132E0
2.134614625E0,1.606799074E0,-1.159748739E0,4.173695170E0,4.620232870E0
2.144600625E0,1.599873047E0,-1.264855364E0,4.643801368E0,5.071917193E0
2.154587625E0,1.742633402E0,-1.407311664E0,5.011670755E0,5.489457264E0
2.164574625E0,2.004030839E0,-1.691708246E0,5.753181315E0,6.322745577E0
2.174561625E0,2.179106416E0,-1.807231978E0,7.081749403E0,7.626648464E0
2.184548625E0,2.207027455E0,-1.711535570E0,8.159284244E0,8.624050299E0
2.194534625E0,2.188816302E0,-1.586931404E0,8.112056867E0,8.550715450E0
2.204521625E0,2.048131124E0,-1.450927507E0,7.123709022E0,7.552963787E0
2.214508625E0,1.857017804E0,-1.361425639E0,5.706369091E0,6.153425314E0
2.224495625E0,1.628480549E0,-1.238680011E0,4.588036473E0,5.023579973E0
2.234482625E0,1.487248657E0,-9.389248395E-1,3.833896512E0,4.218086164E0
2.244468625E0,1.389832875E0,-3.889354429E-1,3.333823918E0,3.632807195E0
2.254455625E0,1.210393521E0,1.424603927E-1,2.833878794E0,3.084836536E0
2.264442625E0,1.141529692E0,5.604588363E-1,2.294591264E0,2.623423948E0
2.274429625E0,1.207681582E0,8.849813515E-1,1.842276388E0,2.373956421E0
2.284416625E0,1.186460282E0,9.911510003E-1,1.597760448E0,2.223264886E0
2.294402625E0,1.098462026E0,1.033745043E0,1.363696990E0,2.033449561E0
2.304389625E0,1.452630801E0,1.250511267E0,1.029766597E0,2.175852458E0
2.314376625E0,1.812032835E0,1.286113794E0,7.088123453E-1,2.332373603E0
2.324363625E0,1.511839122E0,8.188353091E-1,2.945856482E-1,1.744399467E0
2.334350625E0,1.581800473E0,1.027243524E0,3.967575556E-1,1.927365702E0
2.344336625E0,1.552414706E0,1.298059363E0,8.078121382E-1,2.178878147E0
2.354323625E0,9.979659301E-1,1.059981499E0,1.023324720E0,1.779519671E0
2.364310625E0,6.202042240E-1,1.203431241E0,1.124518973E0,1.759955383E0
2.374297625E0,3.193065065E-1,1.490207933E0,1.012217349E0,1.829551937E0
2.384284625E0,-1.259920022E-1,1.424985458E0,6.993305004E-1,1.592331840E0
2.394270625E0,-5.272829041E-1,1.284609598E0,4.350831306E-1,1.455179168E0
2.404257625E0,-6.582210660E-1,1.223435735E0,1.254631215E-1,1.394916114E0
2.414244625E0,-4.110683236E-1,1.255728153E0,-4.621545696E-1,1.399791844E0
2.424231625E0,-2.347899744E-1,1.057958363E0,-1.104192882E0,1.547140636E0
2.434218625E0,-2.167998460E-1,8.880546480E-1,-1.565510715E0,1.812861558E0
2.444204625E0,-3.405848166E-1,8.337860548E-1,-1.730298700E0,1.950674446E0
2.454191625E0,-6.563631132E-1,7.661837634E-1,-1.607935188E0,1.898237515E0
2.464178625E0,-8.448089334E-1,8.677735806E-1,-1.119451191E0,1.649213173E0
2.474165625E0,-7.827892712E-1,9.017111126E-1,-3.697235388E-1,1.250014987E0
2.484152625E0,-5.774052367E-1,9.941017976E-1,5.145935690E-1,1.259540286E0
2.494139625E0,-2.979270396E-1,1.092346423E0,1.047573123E0,1.542527366E0
2.504125625E0,-3.273432121E-1,8.238355556E-1,1.409483027E0,1.665082883E0
2.514112625E0,-8.263250077E-1,-1.000873750E-1,1.266119825E0,1.515219427E0
2.524099625E0,-9.275865036E-1,-8.960033530E-1,3.136189198E-1,1.327251128E0
2.534086625E0,-6.454522088E-1,-1.068589478E0,-1.030669407E0,1.618879691E0
2.544073625E0,-3.415805975E-1,-1.158831311E0,-2.187432851E0,2.498885709E0
2.554059625E0,-3.093805656E-1,-1.217228916E0,-2.827264423E0,3.093668807E0
