"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.465346583E0,2.164855582E-1,2.997145334E-1,-7.381829095E-1,8.255960309E-1
1.475383708E0,2.126278576E-1,3.463621581E-1,-7.278005934E-1,8.335892598E-1
1.485419708E0,1.583390915E-1,3.991110599E-1,-6.752107358E-1,8.001690095E-1
1.495456708E0,1.558154333E-1,4.201750696E-1,-4.521458906E-1,6.366014803E-1
1.505493708E0,1.771067534E-1,2.853493863E-1,-1.694704360E-1,3.761798813E-1
1.515529708E0,2.183747935E-1,1.132848331E-1,-1.185511279E-1,2.730849205E-1
1.525566708E0,2.861991329E-1,1.214799982E-1,-1.632530916E-1,3.511679165E-1
1.535602708E0,3.132420668E-1,2.026256105E-1,-1.344666642E-1,3.965589669E-1
1.545639708E0,2.284799516E-1,2.594298488E-1,-1.556236446E-1,3.791116636E-1
1.555676708E0,1.136567160E-1,3.391171655E-1,-2.211802876E-1,4.205223189E-1
1.565712708E0,-5.333859354E-2,3.748895538E-1,-2.236875737E-1,4.397991743E-1
1.575749708E0,-1.439422233E-1,2.692645732E-1,-9.344786167E-2,3.193043640E-1
1.585786708E0,-2.361098371E-1,3.141241193E-2,8.380229473E-2,2.525023157E-1
1.595822708E0,-3.380186199E-1,-3.880376029E-1,1.625420702E-1,5.396755444E-1
1.605859708E0,-4.873182084E-1,-6.885295236E-1,-9.698659658E-2,8.490926575E-1
1.615895708E0,-6.663255993E-1,-7.943857616E-1,-6.084653538E-1,1.202193258E0
1.625932708E0,-5.375194784E-1,-6.925757968E-1,-8.093061018E-1,1.193132344E0
1.635969708E0,-2.606257506E-1,-5.269580913E-1,-7.224275869E-1,9.314033660E-1
1.646005708E0,-4.280673489E-2,-3.776500243E-1,-7.504070985E-1,8.411675047E-1
1.656042708E0,2.039152139E-1,-3.549862164E-1,-8.984971905E-1,9.873671200E-1
1.666079708E0,3.350394635E-1,-3.904577655E-1,-1.018991348E0,1.141513064E0
1.676115708E0,1.946733972E-1,-4.285593921E-1,-9.601554948E-1,1.069326638E0
1.686152708E0,-2.248077540E-1,-5.154379070E-1,-7.962258804E-1,9.747771103E-1
1.696189708E0,-7.053847075E-1,-5.458498603E-1,-7.231888944E-1,1.148269059E0
1.706225708E0,-8.816015147E-1,-5.257874787E-1,-7.126124507E-1,1.249596018E0
1.716262708E0,-6.736157615E-1,-3.993905568E-1,-7.856552839E-2,7.870473641E-1
1.726298708E0,-2.793315782E-1,-1.474714565E-1,-2.015827596E-1,3.747126499E-1
1.736335708E0,5.737880029E-1,4.283103007E-1,-6.362443060E-1,9.578565669E-1
1.746372708E0,1.487983359E0,1.118910908E0,-4.520979434E-1,1.915841499E0
1.756408708E0,1.003371535E0,1.287456315E0,3.356401187E-1,1.666419061E0
1.766445708E0,9.190966389E-1,1.294302235E0,1.252665966E0,2.022159472E0
1.776482708E0,3.873207343E-1,1.068829506E0,8.638664711E-1,1.427823219E0
1.786518708E0,-8.477535912E-1,6.826443011E-1,1.336250744E0,1.723442905E0
1.796555708E0,-8.096719913E-1,2.551017398E-1,1.807407687E0,1.996839548E0
1.806592708E0,-3.219036935E-1,-1.871377981E-1,1.760894256E0,1.799830860E0
1.816628708E0,4.763478085E-2,-4.357444507E-1,1.875219601E0,1.925770197E0
1.826665708E0,3.021599852E-1,-4.145939022E-1,2.050357744E0,2.113564675E0
1.836701708E0,3.407472230E-1,-2.628954935E-1,2.005582105E0,2.051239208E0
1.846738708E0,6.181632534E-1,-8.216682851E-2,7.374163395E-1,9.657432647E-1
