Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
1.54665425,-0.08473931104,-0.1730618689,-0.4207469273,0.4627733118,freestyle
1.55669225,0.200515058,-0.1871197448,-0.2048776656,0.3423374728,freestyle
1.56672925,0.3827051615,-0.136915405,-0.0330087018,0.4077973065,freestyle
1.57676625,0.3413340642,-0.07089237347,0.08313103437,0.3583928583,freestyle
1.58680425,0.1420861709,-0.05692059785,0.1156438923,0.1918383284,freestyle
1.59684125,-0.1033624736,0.003046691716,0.1108047366,0.1515611195,freestyle
1.60687925,-0.2666102296,0.05260447562,0.04546327114,0.2755270484,freestyle
1.61691625,-0.3719223111,0.06651565947,-0.03638137579,0.3795709986,freestyle
1.62695325,-0.337560856,0.1130373497,-0.05931941807,0.3608927365,freestyle
1.63699125,-0.214799075,0.2091951035,-0.03955290556,0.302432912,freestyle
1.64702825,-0.09300953977,0.2444440198,-0.009709886312,0.2617211019,freestyle
1.65706525,-0.02659123644,0.2318073097,0.06527129889,0.2422850906,freestyle
1.66710325,-0.003125482947,0.2992856401,0.07507649481,0.3085743721,freestyle
1.67714025,-0.1616468614,0.2795622508,0.09766019583,0.3373755678,freestyle
1.68717725,-0.3847831158,0.2072984129,0.06254883528,0.4415235384,freestyle
1.69721525,-0.5145581934,0.15486548,-0.02159669101,0.5377916589,freestyle
1.70725225,-0.5657548787,0.1832404827,-0.1415382868,0.611300862,freestyle
1.71728925,-0.6071893452,0.1589711025,-0.2320362282,0.6691722675,freestyle
1.72732725,-0.5761747632,0.08740710318,-0.243885026,0.6317414545,freestyle
1.73736425,-0.4897937733,0.05746760488,-0.2350487137,0.5463042776,freestyle
1.74740125,-0.3427494559,0.0902770628,-0.1699522465,0.39307875,freestyle
1.75743925,-0.2408364339,0.1373339926,-0.05252086043,0.2821723838,freestyle
1.76747625,-0.2182207925,0.1254885569,0.1032097882,0.2720660813,freestyle
1.77751325,-0.1478627083,0.1259061943,0.2329706132,0.3033002752,freestyle
1.78755125,-0.003331414573,0.2147467424,0.2528412062,0.3317467969,freestyle
1.79758825,0.1221537071,0.3406570297,0.2681386918,0.4504077021,freestyle
1.80762525,0.1951615667,0.3675181152,0.2997417229,0.5128378911,freestyle
1.81766325,0.2708657966,0.3530706686,0.3348764724,0.5569285668,freestyle
