"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.348100333E0,1.073150014E0,1.025013980E-1,-1.562276620E-1,1.089295447E0
2.358137333E0,-1.028349817E-2,-2.840925273E-1,-4.070773065E-1,4.965140964E-1
2.368174333E0,-6.667311037E-1,-1.004326531E0,-8.679606915E-1,1.485448723E0
2.378210333E0,-1.161375142E0,-1.547379376E0,-1.126592980E0,2.238836059E0
2.388247333E0,-1.377137985E0,-1.599514613E0,-1.163849099E0,2.410290595E0
2.398283333E0,-8.757456744E-1,-9.793451795E-1,-9.853353596E-1,1.642234221E0
2.408320333E0,-4.713083857E-1,-4.288447362E-1,-1.046991910E0,1.225655523E0
2.418357333E0,-2.305405104E-1,-3.935497731E-1,-1.172128172E0,1.257741946E0
2.428393333E0,-3.065127987E-1,-8.361968619E-1,-9.929653913E-1,1.333849900E0
2.438430333E0,-1.237940923E0,-1.852816872E0,-3.945198262E-1,2.262979006E0
2.448467333E0,-2.339754573E0,-2.964731002E0,1.068871021E-3,3.776782032E0
2.458503333E0,-3.000157819E0,-3.495737120E0,-1.136049682E-1,4.608039827E0
2.468540333E0,-3.393981827E0,-3.375804295E0,-7.180889529E-1,4.840539125E0
2.478577333E0,-3.169451669E0,-3.009800170E0,-1.271104576E0,4.551925724E0
2.488613333E0,-2.480510502E0,-2.702956712E0,-1.357952685E0,3.911897600E0
2.498650333E0,-1.843847535E0,-2.790842994E0,-6.258918107E-1,3.402986763E0
2.508687333E0,-1.697335607E0,-2.943962569E0,1.109392226E-1,3.400025188E0
2.518723333E0,-1.856765204E0,-3.493476294E0,6.439304709E-1,4.008316366E0
2.528760333E0,-1.602572122E0,-4.348483941E0,1.270666035E0,4.805428406E0
2.538797333E0,-1.220349575E0,-4.583752510E0,1.588028927E0,5.002187125E0
2.548833333E0,-4.904048073E-1,-4.296645451E0,1.429402152E0,4.554651416E0
2.558870333E0,3.489840496E-1,-3.659068272E0,1.560445856E0,3.993189422E0
2.568907333E0,8.170542473E-1,-2.825985053E0,1.610226712E0,3.353594970E0
2.578943333E0,7.518998927E-1,-2.157332554E0,1.018814762E0,2.501483703E0
2.588980333E0,8.459143496E-1,-1.836683819E0,6.491344929E-1,2.123759433E0
2.599017333E0,1.364840705E0,-1.354059024E0,8.618819261E-1,2.106918709E0
2.609053333E0,1.445008371E0,-6.114108887E-1,7.510830367E-1,1.739539650E0
2.619090333E0,1.626286674E0,-9.941436052E-2,4.625872636E-1,1.693717373E0
2.629127333E0,2.640420156E0,6.075248292E-1,-1.669777679E-1,2.714550900E0
2.639163333E0,3.293582211E0,1.403698669E0,3.110204172E-1,3.593714990E0
2.649200333E0,3.865087314E0,2.688421995E0,9.072007710E-1,4.794739410E0
2.659237333E0,4.154090041E0,4.005631574E0,1.225112132E0,5.899359975E0
2.669273333E0,4.633414375E0,4.998609830E0,1.191084845E0,6.919054278E0
2.679310333E0,4.835611677E0,5.710491378E0,6.129396433E-1,7.507898979E0
2.689347333E0,4.648447566E0,5.669885974E0,3.873183954E-1,7.342049256E0
2.699383333E0,4.527395584E0,5.482292093E0,3.079424429E-1,7.116717355E0
2.709420333E0,4.032217695E0,5.362283839E0,-1.318769324E-1,6.710458929E0
2.719457333E0,3.781951602E0,5.144669183E0,-1.367298290E0,6.529952798E0
2.729493333E0,4.101697819E0,5.220358467E0,-2.945666447E0,7.263127311E0
2.739530333E0,4.104403911E0,5.452956612E0,-5.041914893E0,8.485385853E0
2.749567333E0,3.180152074E0,5.412022009E0,-7.529543796E0,9.802927074E0
2.759603333E0,9.654641819E-1,4.555171320E0,-8.179947134E0,9.412398311E0
2.769640333E0,-9.723118562E-1,2.490506609E0,-6.157705142E0,6.713072779E0
2.779676333E0,-2.130395601E0,-1.418727475E-1,-2.793582122E0,3.516079403E0
2.789713333E0,-3.099136562E0,-2.125601469E0,-4.334915185E-1,3.782954392E0
2.799750333E0,-3.315645509E0,-3.477050881E0,-4.117129791E-1,4.822125626E0
2.809786333E0,-2.213825428E0,-3.319523383E0,-1.675714357E0,4.327617950E0
2.819823333E0,-6.720088005E-1,-1.112557908E0,-1.729152061E0,2.163180015E0
2.829860333E0,1.610831898E-1,2.888635629E-1,-8.124963427E-1,8.772344378E-1
2.839896333E0,9.994786048E-1,9.959147269E-1,-3.630802247E-1,1.456925144E0
2.849933333E0,1.330222265E0,1.461936645E0,-3.306682312E-1,2.004018839E0
2.859970333E0,8.339503616E-1,1.776421537E0,-5.138218828E-1,2.028585618E0
2.870006333E0,5.393120885E-2,2.457615729E0,-6.706958082E-1,2.548061325E0
2.880043333E0,-1.491583782E-1,3.061001607E0,-4.143486115E-1,3.092517394E0
2.890080333E0,-2.820696831E-3,2.611687523E0,2.060640657E-1,2.619805732E0
2.900116333E0,-5.591014051E-1,1.702038522E0,6.395842355E-1,1.902261156E0
2.910153333E0,-1.426506026E0,1.320436950E0,3.308043252E-1,1.971777037E0
2.920190333E0,-1.750933524E0,1.295326667E0,-6.983604473E-1,2.287213741E0
2.930226333E0,-1.957962381E0,1.411171119E0,-1.372445009E0,2.776441232E0
2.940263333E0,-2.258025700E0,1.915612167E0,-1.383075540E0,3.268202562E0
2.950300333E0,-2.323689932E0,2.687452819E0,-1.220753617E0,3.756617754E0
2.960336333E0,-2.255608461E0,2.902785891E0,4.633313218E-1,3.705214080E0
2.970373333E0,-1.299303943E0,9.323823899E-1,1.749083173E0,2.369983039E0
2.980410333E0,1.028905302E-1,-1.859398790E0,1.611863932E0,2.462936389E0
2.990446333E0,6.460676283E-1,-2.947205434E0,1.359017756E0,3.309131686E0
3.000483333E0,1.366729941E0,-2.737210870E0,6.077565251E-1,3.119237419E0
3.010520333E0,2.139490945E0,-2.039513497E0,-1.281271715E0,3.221598053E0
3.020556333E0,2.183480718E0,-2.860048592E-1,-2.115851237E0,3.053884949E0
3.030593333E0,1.963228383E0,1.891590051E0,-2.140128291E0,3.465909362E0
3.040630333E0,2.095371948E0,3.866378379E0,-6.383580744E-1,4.443755890E0
3.050666333E0,2.622702507E0,5.479123487E0,1.309967364E0,6.214127221E0
3.060703333E0,3.271997799E0,5.517316330E0,3.202179120E0,7.169428164E0
3.070740333E0,3.081799568E0,4.327799708E0,3.581851112E0,6.407573353E0
3.080776333E0,2.608752220E0,1.477773244E0,3.369565609E0,4.510362989E0
3.090813333E0,2.463399210E0,-2.293350484E0,2.893994603E0,4.438805793E0
3.100850333E0,2.714634771E0,-5.441537000E0,2.469722974E0,6.563466952E0
3.110886333E0,3.011093282E0,-7.135277154E0,1.187093536E0,7.835052896E0
3.120923333E0,2.355843186E-3,-7.251284158E0,1.781874651E0,7.467007752E0
3.130960333E0,-3.131014413E0,-5.017658889E0,2.743243443E0,6.519627026E0
