"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.888344417E0,3.407382768E0,-4.986031884E-1,-1.811246384E0,3.890947948E0
2.898332417E0,3.538699245E0,-5.238312927E-1,-1.838013768E0,4.021826225E0
2.908320417E0,3.722486881E0,-5.730062301E-1,-1.924546713E0,4.229553731E0
2.918308417E0,3.863171474E0,-6.474177504E-1,-2.063868905E0,4.427504764E0
2.928297417E0,3.854030814E0,-7.545043887E-1,-2.329806120E0,4.566270573E0
2.938285416E0,3.802994562E0,-8.202693388E-1,-2.552886168E0,4.653260922E0
2.948273417E0,3.733179392E0,-8.306193490E-1,-2.567231727E0,4.606217061E0
2.958261417E0,3.590996157E0,-7.604727879E-1,-2.622020137E0,4.510938024E0
2.968249416E0,3.341795427E0,-7.225345910E-1,-2.598390954E0,4.294332132E0
2.978238417E0,3.184625779E0,-8.560209695E-1,-2.574613836E0,4.183688523E0
2.988226417E0,3.175781280E0,-1.080622024E0,-2.652939044E0,4.276846534E0
2.998214417E0,3.160150504E0,-1.469097730E0,-2.607846487E0,4.352661558E0
3.008202417E0,3.285985508E0,-1.719483983E0,-2.231920221E0,4.328486317E0
3.018190417E0,3.566899781E0,-1.769916510E0,-1.734653122E0,4.343316700E0
3.028178417E0,3.545188777E0,-1.804953465E0,-1.336615026E0,4.196755914E0
3.038167417E0,3.258352736E0,-1.882379663E0,-1.085309299E0,3.916390178E0
